att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,att31,att32,att33,att34,att35,att36,att37,att38,att39,att40,att41,att42,att43,att44,att45,att46,att47,att48,att49,att50,att51,att52,att53,att54,att55,att56,att57,att58,att59,att60,att61,att62,att63,att64,att65,target
-0.484312,-0.484312,-1.841293,-1.29844,1.41537,3.586432,1.958131,-0.755739,-1.841293,-0.755739,1.41537,1.686751,-0.484312,-0.755739,-1.29844,-0.212931,0.601227,0.05845,-0.484312,-0.484312,-0.212931,0.329846,0.329846,0.329846,0.05845,0.05845,0.05845,0.329846,-0.212931,0.05845,0.05845,0.05845,-0.212931,-0.212931,0.05845,0.05845,-0.212931,0.05845,0.05845,0.05845,0.329846,-0.212931,0.05845,-0.755739,-1.29844,0.872608,1.143989,1.143989,0.05845,-1.027013,-0.212931,1.41537,2.500909,2.229512,-1.569867,-1.027013,-0.212931,0.05845,-0.755739,-0.484312,-0.212931,-0.484312,-0.484312,-1.027013,-0.484312,1
-0.825064,-0.191661,0.864101,2.131013,2.764463,1.286401,0.019489,-1.458621,-1.669688,-0.191661,1.497551,1.919863,0.864101,-0.825064,-1.458621,-1.458621,-1.03625,-0.402811,-0.191661,-0.613997,-0.825064,-0.613997,-0.191661,-0.191661,0.019489,0.019489,0.230651,0.230651,0.019489,0.019489,0.019489,-0.191661,-0.191661,-0.191661,0.019489,0.019489,0.441801,0.652951,0.652951,0.230651,-1.458621,-1.880874,-1.458621,-0.191661,0.652951,0.441801,0.441801,0.864101,1.286401,1.919863,1.919863,1.286401,0.019489,-1.03625,-1.880874,-1.458621,-0.825064,-0.402811,0.019489,0.019489,-0.191661,-0.191661,0.230651,0.441801,0.230651,2
-0.864796,-0.864796,-0.336971,0.982496,2.038057,1.246386,-0.07308,-0.864796,-0.600861,0.454715,2.038057,2.038057,1.510277,0.190825,-1.128583,-1.920387,-1.656452,-1.128583,-0.07308,0.190825,-0.336971,-0.600861,-0.600861,-0.600861,-0.336971,0.190825,0.454715,0.454715,0.454715,0.190825,-0.07308,-0.336971,-0.336971,-0.336971,-0.07308,-0.07308,0.190825,-0.07308,-0.336971,-0.07308,-0.07308,-0.600861,-0.864796,-0.336971,-0.07308,-0.600861,-0.600861,0.454715,1.774167,2.565853,3.093634,1.246386,-0.600861,-1.392517,-1.920387,-1.392517,-0.600861,0.190825,0.190825,0.454715,-0.336971,-0.336971,-0.07308,0.454715,0.454715,2
-0.788063,-0.788063,-0.205984,1.152311,2.510606,2.122524,0.376148,-1.176209,-1.370282,-0.400025,0.764229,1.734443,2.122524,1.152311,-0.400025,-1.952393,-1.952393,-0.788063,-0.205984,-0.205984,-0.400025,-0.594098,-0.594098,-0.400025,-0.011944,0.376148,0.376148,0.376148,0.182108,-0.011944,-0.205984,-0.011944,-0.205984,-0.205984,-0.205984,-0.205984,-0.205984,-0.011944,-0.011944,-0.011944,-0.205984,-0.788063,-0.788063,-0.594098,-0.400025,-0.788063,-0.205984,0.95827,1.928484,2.510606,2.510606,0.95827,-0.594098,-1.176209,-1.564247,-1.370282,-0.594098,-0.011944,0.182108,0.182108,-0.205984,-0.205984,-0.011944,0.182108,0.376148,2
-0.949769,-0.49419,0.189268,0.417083,0.189268,0.417083,0.417083,0.189268,-0.03856,-0.03856,0.644898,1.328343,1.783973,0.189268,-3.455773,-2.772341,1.328343,2.239616,1.100528,-0.03856,0.189268,-0.03856,-2.088908,-1.177623,-0.722043,-0.03856,-0.266375,-0.49419,-0.49419,-0.03856,0.189268,0.189268,0.417083,-0.03856,-0.49419,-0.03856,-0.03856,-0.03856,-0.03856,-0.266375,-0.49419,-0.03856,0.189268,0.189268,-0.266375,-0.03856,0.189268,-0.03856,-0.266375,-0.722043,-0.949769,-0.49419,0.644898,2.239616,-0.266375,-1.405476,-1.861055,-0.266375,1.100528,1.556158,1.556158,1.556158,0.189268,0.189268,0.189268,1
-0.493924,-0.071492,0.350952,1.195817,1.829478,0.773385,-0.705176,-1.338813,-0.493924,1.195817,2.040694,2.674342,0.773385,-0.705176,-1.972449,-1.761198,-0.916309,-0.916309,-0.705176,-0.071492,-0.071492,-0.282708,-0.282708,-0.282708,-0.071492,0.139736,0.350952,0.350952,0.139736,-0.282708,-0.493924,-0.493924,-0.071492,-0.071492,0.139736,0.350952,0.139736,0.139736,0.139736,0.139736,-0.705176,-1.338813,-1.338813,-0.282708,0.562169,-0.071492,-0.493924,0.139736,1.618249,2.463126,2.674342,1.407033,0.139736,-0.493924,-1.338813,-1.972449,-1.550064,-0.493924,0.139736,0.139736,-0.071492,-0.071492,0.139736,0.139736,0.350952,2
-0.354116,0.017127,0.017127,0.202759,0.388381,0.574002,0.574002,0.388381,0.574002,-0.168494,-1.096623,-1.096623,0.017127,1.687742,0.945246,-1.467825,-1.653477,-0.539769,0.574002,1.873364,1.873364,1.316489,0.759624,0.017127,-0.354116,-0.725317,-0.725317,-0.354116,-0.725317,-0.725317,-0.725317,-0.725317,-0.725317,-0.91097,-0.539769,0.202759,0.759624,0.574002,0.202759,0.017127,0.017127,0.017127,-0.354116,-0.725317,-0.354116,0.202759,0.388381,0.388381,0.202759,-0.168494,0.017127,0.574002,1.687742,0.017127,-1.83913,-2.581637,-0.354116,2.058985,2.430229,1.687742,1.130867,-1.653477,-1.653477,-1.096623,0.017127,1
-0.280573,-1.631422,-1.293648,0.057145,0.732598,1.070315,1.070315,1.408032,1.408032,1.408032,1.745749,0.732598,-0.61829,-1.293648,-1.293648,-1.293648,-0.956063,-0.280573,-0.280573,-0.61829,-0.280573,0.057145,0.732598,0.394881,0.057145,0.057145,-0.280573,0.057145,-0.280573,0.057145,0.057145,-0.280573,-0.280573,0.057145,0.057145,0.057145,0.057145,-0.280573,0.057145,-0.280573,-0.61829,-0.956063,-1.631422,1.070315,2.7589,1.408032,1.408032,0.394881,0.394881,1.070315,1.745749,1.745749,1.408032,-0.280573,-1.969196,-1.969196,-1.631422,-0.956063,-0.280573,-0.280573,-0.61829,-0.61829,-0.61829,-0.280573,-0.280573,2
-0.437621,-0.663412,-0.437621,0.69116,2.045695,2.045695,0.465407,-0.211867,-1.340661,-0.437621,0.916914,2.045695,1.368421,0.013887,-1.340661,-1.792117,-1.340661,-0.889077,-0.211867,0.013887,-0.211867,-0.211867,-0.437621,-0.211867,-0.437621,0.013887,0.013887,0.239653,0.013887,0.013887,0.013887,0.013887,0.013887,-0.211867,0.013887,0.013887,0.465407,0.239653,-0.211867,-0.663412,-0.889077,-1.114869,-1.114869,-1.340661,-0.889077,-0.211867,0.69116,1.368421,2.271449,2.722956,2.271449,1.368421,0.013887,-0.889077,-1.566452,-1.792117,-1.114869,-0.211867,0.239653,0.239653,0.013887,0.013887,0.013887,0.465407,0.465407,2
-0.752327,-0.752327,-0.270531,1.174747,1.89738,1.174747,0.452115,-0.511409,-0.99311,-0.029654,0.93387,1.415625,1.174747,0.452115,-0.752327,-0.99311,-1.234028,-0.99311,-0.511409,-0.511409,-0.270531,-0.511409,-0.270531,-0.270531,-0.029654,0.452115,0.692992,0.452115,0.211237,-0.029654,-0.270531,-0.511409,-0.270531,-0.029654,-0.029654,0.211237,0.211237,0.211237,0.452115,0.211237,-0.511409,-1.715864,-1.234028,-0.99311,-0.99311,-0.99311,0.692992,1.89738,2.379148,2.860903,2.620026,1.415625,-0.029654,-0.99311,-1.474946,-1.715864,-1.474946,-0.511409,-0.029654,0.211237,0.211237,-0.270531,-0.511409,-0.270531,0.452115,2
-0.474322,-0.474322,-0.219521,1.309298,2.328516,1.8189,0.035279,-1.493554,-1.493554,-0.219521,1.054497,2.073701,1.564099,0.290095,-0.729166,-1.493554,-1.493554,-0.983867,-0.474322,-0.219521,-0.474322,-0.474322,-0.474322,-0.729166,-0.474322,0.035279,0.544895,0.799696,0.290095,0.035279,-0.219521,-0.219521,-0.219521,-0.219521,-0.219521,-0.219521,0.035279,0.035279,-0.219521,0.035279,0.035279,-0.983867,-0.983867,-0.729166,-0.474322,-0.729166,-0.219521,0.799696,1.8189,2.583317,2.838118,1.8189,0.035279,-0.729166,-1.493554,-1.493554,-0.729166,0.035279,0.290095,0.035279,-0.219521,-0.474322,-0.219521,0.290095,0.544895,2
0.05798,-0.480464,-1.018847,-0.749731,1.673328,1.94255,-0.480464,-2.095766,-1.557382,-1.018847,1.673328,2.750231,2.481009,1.404106,-0.211242,-0.749731,0.05798,0.327218,-0.480464,-1.288115,-1.288115,-1.018847,-1.018847,-0.480464,0.05798,0.59644,0.59644,0.05798,0.05798,0.05798,0.05798,-0.749731,-0.749731,0.05798,0.59644,0.327218,-0.211242,-0.211242,0.327218,0.59644,0.327218,-0.211242,-0.749731,-1.557382,-1.82665,0.05798,1.404106,0.865662,0.59644,1.404106,1.94255,0.59644,-1.018847,-0.480464,-1.288115,-0.480464,0.59644,0.05798,-0.211242,-0.480464,0.05798,0.327218,0.05798,0.05798,0.05798,1
0.039545,-0.217522,-0.988663,-1.245773,1.067825,1.581957,-0.217522,-1.245773,-1.245773,-0.474588,1.581957,2.610237,2.353171,1.324891,-0.217522,-0.731698,-0.474588,0.039545,-0.474588,-0.731698,-0.474588,-0.731698,-1.245773,-0.988663,-0.217522,0.296625,0.296625,0.296625,-0.217522,0.039545,0.296625,0.039545,0.039545,-0.217522,-0.217522,0.039545,0.039545,0.039545,-0.217522,0.039545,0.039545,0.039545,-0.474588,-1.245773,-1.759992,-0.988663,0.810758,1.581957,1.839024,2.09609,2.353171,1.581957,-1.502882,-1.502882,-1.502882,-0.217522,0.296625,-0.217522,-0.474588,-0.474588,0.039545,0.296625,0.039545,0.039545,0.039545,1
0.005549,0.005549,0.005549,0.005549,0.005549,0.005549,0.005549,0.005549,0.005549,-0.355488,-0.355488,-0.355488,0.005549,-0.355488,-0.355488,0.005549,-1.077624,-1.799617,0.727643,2.171792,1.810755,1.449718,0.727643,0.005549,0.366606,0.366606,0.366606,-0.355488,-0.716526,-1.077624,-1.438519,-1.077624,0.005549,0.005549,0.005549,-0.355488,-0.355488,-0.355488,0.366606,0.727643,0.366606,-0.355488,-0.716526,-0.355488,0.366606,0.366606,0.366606,0.366606,0.727643,0.727643,0.727643,0.366606,0.005549,-0.355488,-0.716526,-0.355488,0.366606,1.088681,2.53283,2.53283,-0.716526,-3.243806,-3.243806,-0.716526,1.088681,2
-0.164722,0.016746,-0.164722,-0.164722,-0.346191,-0.346191,0.016746,0.198225,0.016746,-0.52769,-1.979379,-1.253585,1.649985,3.283213,1.831454,-0.890587,-1.979379,-1.434983,0.9241,-0.52769,0.379694,-0.52769,-0.709088,-0.164722,0.379694,0.379694,0.016746,-0.164722,0.016746,0.198225,0.198225,0.198225,-0.164722,-0.164722,0.198225,0.198225,0.198225,-0.164722,-0.164722,0.016746,0.016746,0.016746,0.016746,-0.164722,-0.164722,0.016746,-0.346191,0.016746,-0.346191,-0.890587,-0.346191,1.105569,1.831454,1.105569,-2.160878,-1.979379,-0.709088,0.561163,1.649985,2.194391,2.012922,0.9241,-0.890587,-1.253585,-0.52769,1
-1.403924,-1.676375,-0.586722,1.320131,3.226984,2.137347,-0.041912,-0.859174,-0.586722,0.77532,2.137347,1.592536,0.77532,-0.041912,-0.586722,-0.859174,-1.676375,-1.676375,-1.131472,-0.041912,0.77532,-0.041912,-0.314317,-0.586722,-0.041912,0.230509,0.230509,-0.041912,-0.041912,-0.314317,-0.586722,-0.314317,-0.041912,0.230509,0.230509,-0.041912,-0.041912,-0.314317,-0.314317,-0.041912,0.230509,-0.586722,-0.859174,-0.586722,-0.041912,0.230509,-0.041912,0.77532,1.320131,2.409768,2.409768,1.047725,-0.586722,-1.131472,-1.403924,-0.859174,-0.586722,-0.041912,0.230509,-0.041912,-0.586722,-0.859174,-0.314317,-0.041912,0.502915,2
0.223969,0.462613,0.462613,0.223969,-0.014688,-0.253331,-0.014688,-0.491975,-0.014688,-0.014688,-0.014688,0.223969,0.462613,0.9399,0.701256,-0.969208,-2.87841,-2.401176,0.223969,1.65583,1.65583,0.9399,0.701256,1.65583,2.133131,0.9399,0.223969,-0.491975,-1.446576,-1.923809,-1.446576,-0.730658,-0.014688,-0.014688,-0.014688,-0.014688,-0.491975,-0.014688,0.462613,0.462613,-0.014688,-0.253331,-0.491975,-0.253331,-0.253331,-0.014688,-0.014688,0.223969,0.223969,0.223969,-0.253331,-0.253331,-0.491975,-0.253331,-0.491975,-0.730658,-0.730658,0.223969,1.894474,2.849061,1.65583,-0.253331,-1.685259,-1.446576,-0.491975,2
